Delta,case,A,time,linear_drho2_over_epsilon,nonlinear_drho2_over_epsilon
0.001,EP,0.18061960298019653,241.4,0.022982778086625116,0.023506863383593313
0.001,EP,0.18061960298019653,241.60000000000002,0.022888034438197338,0.023410260561185225
0.001,EP,0.18061960298019653,241.8,0.022793669358670412,0.023314042124633616
0.001,EP,0.18061960298019653,242.0,0.022699681403720275,0.023218206616215653
0.001,EP,0.18061960298019653,242.20000000000002,0.022606069134132246,0.02312275258375962
0.001,EP,0.18061960298019653,242.4,0.022512831115784605,0.023027678577314248
0.001,EP,0.18061960298019653,242.60000000000002,0.022419965919633685,0.022932983156920272
0.001,EP,0.18061960298019653,242.8,0.022327472121697757,0.02283866488261843
0.001,EP,0.18061960298019653,243.0,0.022235348303042603,0.022744722323331246
0.001,EP,0.18061960298019653,243.20000000000002,0.022143593049764338,0.022651154051311906
0.001,EP,0.18061960298019653,243.4,0.022052204952975593,0.022557958644364717
0.001,EP,0.18061960298019653,243.60000000000002,0.02196118260878938,0.022465134684734878
0.001,EP,0.18061960298019653,243.8,0.021870524618303248,0.0223726807602187
0.001,EP,0.18061960298019653,244.0,0.02178022958758519,0.022280595463053388
0.001,EP,0.18061960298019653,244.20000000000002,0.02169029612765715,0.02218887738991704
0.001,EP,0.18061960298019653,244.4,0.021600722854480146,0.02209752514525931
0.001,EP,0.18061960298019653,244.60000000000002,0.021511508388939237,0.02200653733575031
0.001,EP,0.18061960298019653,244.8,0.021422651356827947,0.021915912571390805
0.001,EP,0.18061960298019653,245.0,0.02133415038883343,0.021825649473283804
0.001,EP,0.18061960298019653,245.20000000000002,0.021246004120520613,0.02173574666031186
0.001,EP,0.18061960298019653,245.4,0.021158211192318106,0.02164620276023932
0.001,EP,0.18061960298019653,245.60000000000002,0.021070770249502657,0.021557016405271412
0.001,EP,0.18061960298019653,245.8,0.020983679942183246,0.021468186232054265
0.001,EP,0.18061960298019653,246.0,0.02089693892528762,0.02137971088278512
0.001,EP,0.18061960298019653,246.20000000000002,0.020810545858545856,0.02129158900188166
0.001,EP,0.18061960298019653,246.4,0.020724499406476537,0.021203819240422916
0.001,EP,0.18061960298019653,246.60000000000002,0.020638798238370903,0.021116400255039025
0.001,EP,0.18061960298019653,246.8,0.02055344102827865,0.02102933070680102
0.001,EP,0.18061960298019653,247.0,0.020468426454992465,0.020942609261220824
0.001,EP,0.18061960298019653,247.20000000000002,0.020383753202033596,0.02085623458714103
0.001,EP,0.18061960298019653,247.4,0.020299419957637264,0.020770205360065574
0.001,EP,0.18061960298019653,247.60000000000002,0.020215425414736952,0.020684520259939276
0.001,EP,0.18061960298019653,247.8,0.020131768270950506,0.020599177968927407
0.001,EP,0.18061960298019653,248.0,0.02004844722856545,0.02051417717807702
0.001,EP,0.18061960298019653,248.20000000000002,0.019965460994523784,0.020429516579545393
0.001,EP,0.18061960298019653,248.4,0.01988280828040772,0.02034519487215114
0.001,EP,0.18061960298019653,248.60000000000002,0.01980048780242491,0.02026121075915377
0.001,EP,0.18061960298019653,248.8,0.01971849828139404,0.02017756294825368
0.001,EP,0.18061960298019653,249.0,0.019636838442729714,0.020094250149371717
0.001,EP,0.18061960298019653,249.20000000000002,0.01955550701642943,0.02001127108131051
0.001,EP,0.18061960298019653,249.4,0.019474502737056476,0.019928624463982914
0.001,EP,0.18061960298019653,249.60000000000002,0.019393824343728872,0.019846309022852893
0.001,EP,0.18061960298019653,249.8,0.019313470580101914,0.019764323490045754
0.001,EP,0.18061960298019653,250.0,0.019233440194355276,0.019682666598797027
0.001,EP,0.18061960298019653,250.20000000000002,0.019153731939178943,0.019601337090113802
0.001,EP,0.18061960298019653,250.4,0.019074344571757558,0.01952033370611339
0.001,EP,0.18061960298019653,250.60000000000002,0.01899527685375797,0.019439655195574446
0.001,EP,0.18061960298019653,250.8,0.018916527551312807,0.019359300312826733
0.001,EP,0.18061960298019653,251.0,0.0188380954350086,0.01927926781220002
0.001,EP,0.18061960298019653,251.20000000000002,0.018759979279869377,0.0191995564591263
0.001,EP,0.18061960298019653,251.4,0.018682177865344356,0.019120165016817126
0.001,EP,0.18061960298019653,251.60000000000002,0.0186046899752926,0.019041092257365833
0.001,EP,0.18061960298019653,251.8,0.018527514397969836,0.0189623369550862
0.001,EP,0.18061960298019653,252.0,0.01845064992601336,0.01888389789095335
