M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
5,0.203,-0.05893375396226719,-0.0017100635817418066,-0.05893375396226719,0.0017100635817418066,-1.1697269814398437e-05,-0.009265061565035631,0.009105879877875662,0.7132069911989096,0.017328424590003166,0.06375548848853146,1.5863455513737881e-16,-0.058933753962267355
5,0.20400000000000001,-0.058916965800606846,-0.0020439514949562956,-0.058916965800606846,0.0020439514949562956,-1.6710950854935934e-05,-0.009302002484721152,0.009074663217553834,0.7157996860467656,0.02473838108929627,0.06384483361202604,1.4001409061707262e-16,-0.058916965800606826
5,0.20500000000000002,-0.0589001349862218,-0.002330652879533135,-0.0589001349862218,0.002330652879533135,-2.172777137950414e-05,-0.009339025776743927,0.009043531368542461,0.7183805152276053,0.03214112931735924,0.06393446761719351,1.8159853989515087e-16,-0.058900134986221785
5,0.20600000000000002,-0.0588832616473732,-0.0025859167421955435,-0.0588832616473732,0.0025859167421955435,-2.6747861590268782e-05,-0.009376131074031829,0.009012484037148586,0.7209493263812028,0.039535862419020074,0.0640243919073543,2.8350654358868285e-16,-0.05888326164737328
5,0.20700000000000002,-0.05886634591557833,-0.0028183040408510554,-0.05886634591557833,0.0028183040408510554,-3.1771350666709474e-05,-0.009413318011384196,0.008981520935608441,0.7235059703806546,0.04692177835290523,0.0641146078908979,1.4168519185132832e-16,-0.058866345915578364
5,0.208,-0.0588493879255747,-0.003033082869615148,-0.0588493879255747,0.003033082869615148,-3.679836677581176e-05,-0.009450586225455354,0.008950641782063092,0.7260503013595658,0.054298080208632804,0.06420511698172784,1.7458417664123224e-16,-0.05884938792557468
5,0.209,-0.058832387815283486,-0.003233768586419918,-0.058832387815283486,0.003233768586419918,-4.182903708206486e-05,-0.009487935354738915,0.00891984630053615,0.72858217673735,0.061663976518670394,0.0642959205997258,1.3940999792440863e-16,-0.05883238781528334
5,0.21,-0.058815345725773585,-0.003422845590933399,-0.058815345725773585,0.003422845590933399,-4.686348775748887e-05,-0.00952536503955544,0.00888913422091335,0.731101457242741,0.06901868156491897,0.06438702017121932,1.5167901207157298e-16,-0.05881534572577342
5,0.211,-0.058798261801225896,-0.0036021467207420776,-0.058798261801225896,0.0036021467207420776,-5.1901843991011604e-05,-0.009562874922031641,0.008858505278920861,0.7336080069352028,0.076361415678881,0.06447841712944428,2.0382802059345233e-16,-0.05879826180122594
5,0.212,-0.05878113618889959,-0.0037730700363975615,-0.05878113618889959,0.0037730700363975615,-5.6944229998244695e-05,-0.0096004646460889,0.008827959216106615,0.736101693224721,0.08369140553660248,0.06457011291502805,1.2976297831742025e-16,-0.05878113618889945
5,0.213,-0.05876396903909428,-0.003936710842527591,-0.05876396903909428,0.003936710842527591,-6.199076903069714e-05,-0.009638133857425898,0.008797495779821956,0.7385823868895255,0.09100788444685737,0.06466210897647146,1.2727578789451303e-16,-0.05876396903909449
5,0.214,-0.05874676050511838,-0.004093946243694337,-0.05874676050511838,0.004093946243694337,-6.704158338503624e-05,-0.009675882203502933,0.008767114723203165,0.7410499620920451,0.09831009263324297,0.06475440677063893,1.6345049859431081e-16,-0.058746760505118255
5,0.215,-0.058729510743252375,-0.004245491561999965,-0.058729510743252375,0.004245491561999965,-7.20967944120514e-05,-0.009713709333526388,0.008736815805156065,0.7435042963929145,0.10559727750944559,0.06484700776325665,1.9974330068949519e-16,-0.05872951074325227
5,0.216,-0.058712219912716884,-0.004391939279108692,-0.058712219912716884,0.004391939279108692,-7.715652252551119e-05,-0.009751614898431488,0.008706598790339035,0.7459452707631608,0.11286869394785048,0.06493991342941469,1.5439591163247428e-16,-0.05871221991271669
5,0.217,-0.058694888175637866,-0.004533786695767541,-0.058694888175637866,0.004533786695767541,-8.222088721087468e-05,-0.009789598550868243,0.008676463449150405,0.7483727695945147,0.12012360454112914,0.06503312525408315,1.5438795531267843e-16,-0.05869488817563794
5,0.218,-0.05867751569701368,-0.004671456064059996,-0.05867751569701368,0.004671456064059996,-8.729000703377174e-05,-0.009827659945184416,0.008646409557714648,0.7507866807078624,0.12736127985665924,0.06512664473262965,1.5920009379254207e-16,-0.05867751569701371
5,0.219,-0.05866010264468298,-0.004805309554242253,-0.05866010264468298,0.004805309554242253,-9.236399964836743e-05,-0.00986579873740767,0.008616436897868104,0.7531868953598957,0.13458099868375695,0.06522047337134383,1.3592186705229746e-16,-0.058660102644682896
5,0.22,-0.05864264918929035,-0.004935660589158427,-0.05864264918929035,0.004935660589158427,-9.744298180548662e-05,-0.00990401458523218,0.008586545257152033,0.7555733082478561,0.1417820482732195,0.06531461268798211,1.3569896057962793e-16,-0.05864264918929043
5,0.221,-0.05862515550425558,-0.005062782568921588,-0.05862515550425558,0.005062782568921588,-0.00010252706936070516,-0.009942307148000698,0.008556734428799895,0.7579458175125838,0.14896372456963802,0.06540906421230706,2.0690416267232172e-16,-0.05862515550425559
5,0.222,-0.058607621765741164,-0.005186915684730687,-0.058607621765741164,0.005186915684730687,-0.00010761637728202078,-0.009980676086687488,0.008527004211730534,0.7603043247396302,0.15612533243557003,0.06550382948664156,2.365583936913834e-16,-0.058607621765741164
5,0.223,-0.05859004815262106,-0.005308272309747954,-0.05859004815262106,0.005308272309747954,-0.0001127110196577478,-0.010019121063883963,0.008497354410540163,0.7626487349587769,0.16326618586844566,0.06559891006643545,1.7223445816999002e-16,-0.05859004815262117
5,0.224,-0.05857243484644932,-0.005427041314192427,-0.05857243484644932,0.005427041314192427,-0.00011781110970380594,-0.010057641743779698,0.008467784835496733,0.7649789566416142,0.1703856082089854,0.06569430752083719,1.7016020529340683e-16,-0.058572434846449445
