tag,beta,A,r,psi,J11,J12,J21,J22,trace,determinant,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,s,g,gcrit,abs_g_over_gcrit,lambda_transverse
locked,0.1,0.17834315510588997,0.8198610678161828,-0.21765215497514107,0.009641254448918198,0.06687496780664191,-0.009140407490964453,-0.0560243002473749,-0.0463830457984567,7.111992269030419e-05,0.001866907246780515,-0.04479538393597659,0.0,-0.0015876618624801123,0.0,0.02886728015783873,0.03800768764880318,0.04371854448748397,0.8693722102226956,-0.16402106895508106
locked,0.1,0.1783434590580008,0.819809909971121,-0.21764485384458815,0.00964372386566345,0.06689211223254014,-0.009208992611502653,-0.05601781514990379,-0.04637409128424034,7.578862645381765e-05,0.0018474018366237853,-0.04467775198593182,0.0,-0.0016963392983085288,0.0,0.028841559810518745,0.0380505524220214,0.04370005719420679,0.8707208837947623,-0.16401214478544243
locked,0.1,0.178343804025565,0.8197553953832671,-0.21763707878838529,0.009646355318672615,0.0669103786797783,-0.009282063930068918,-0.05601090275204575,-0.046364547433373135,8.076534282497128e-05,0.0018266098874016223,-0.0445517021566427,0.0,-0.0018128452767304445,0.0,0.02881415737485469,0.03809622130492361,0.04368036801085953,0.8721588905902159,-0.1640026353738658
locked,0.1,0.1783441955432288,0.8196973028053747,-0.21762879925907833,0.009649159488571868,0.06692984070757403,-0.009359915259013252,-0.056003534651367044,-0.046354375162795176,8.60705995473468e-05,0.001804445698543775,-0.044416571391573054,0.0,-0.0019378037712221297,0.0,0.02878496272428039,0.03814487798329364,0.04365939922853158,0.8736922325391464,-0.16399250218983388
locked,0.1,0.17834463989248647,0.8196353962744534,-0.2176199827694197,0.009652147766466546,0.06695057671440843,-0.00944285970330938,-0.055995680524490624,-0.04634353275802408,9.172632026357438e-05,0.0017808177474397536,-0.04427163455063667,0.0,-0.0020718982073874084,0.0,0.028753858505549526,0.03819671820885891,0.043637068173594244,0.875327326228864,-0.16398170414596736
locked,0.1,0.17834514420246034,0.8195694241136708,-0.2176105947729271,0.009655332302140636,0.06697267025906917,-0.009531230936404178,-0.0559873079926139,-0.046331975690473266,9.775592329585455e-05,0.0017556282781991876,-0.044116096903420485,0.0,-0.0022158787870527816,0.0,0.028720719661332494,0.03825195059773667,0.043613286898392375,0.877071033120108,-0.1639701974254043
locked,0.1,0.17834571656428008,0.8194991178667492,-0.2176005985379935,0.009658726055517692,0.0669962104024114,-0.009625384558000105,-0.05597838247736661,-0.04631965642184892,0.00010418442767202074,0.0017287728603500468,-0.043949085414766824,0.0,-0.002370571007082087,0.0,0.028685412922205646,0.03831079748020575,0.0435879618548155,0.8789306920982648,-0.163957935297616
locked,0.1,0.17834636616089664,0.8194241911558469,-0.21758995501469136,0.00966234285181868,0.0670212920725905,-0.009725699544731792,-0.05596886704571928,-0.0463065241939006,0.00011103856737413416,0.0017001399134237648,-0.0437696385573262,0.0,-0.002536885636574407,0.0,0.028647796263929354,0.038373495808661146,0.04356099354850938,0.8809141546766729,-0.16394486792111732
locked,0.1,0.17834710341441298,0.8193443384587401,-0.21757862269416445,0.009666197440618876,0.06704801645486169,-0.009832579798032537,-0.05595872224324196,-0.04629252480262308,0.00011834691436429814,0.0016696101951442807,-0.04357669432983596,0.0,-0.0027158304727871174,0.0,0.028607718328414578,0.038440298126447114,0.0435322761733889,0.8830298230522002,-0.16393094213237727
locked,0.1,0.17834794015329605,0.8192592337998317,-0.21756655746038445,0.009670305559068964,0.06707649140743166,-0.009946455795063258,-0.05594790591482556,-0.0462776003557566,0.00012614001108555433,0.0016370562503449063,-0.043369076067895876,0.0,-0.002908524287860724,0.0,0.0285650178061842,0.03851147360124746,0.043501697225807254,0.8852866912604191,-0.16391610122001235
locked,0.1,0.1783488898021521,0.8191685293465834,-0.21755371243370114,0.009674683999686282,0.06710683190577954,-0.01006778635231298,-0.055936373011584786,-0.046261689011898505,0.00013445051343230577,0.001602341816504388,-0.04314547550744656,0.0,-0.003116213504451945,0.0,0.02851952277673328,0.03858730912904626,0.04346913709687224,0.8876943897702252,-0.16390028468284412
locked,0.1,0.17834996759711066,0.8190718539066627,-0.21754003780623274,0.009679350682944432,0.06713916051656904,-0.010197060506289213,-0.055924075383095295,-0.04624472470015086,0.00014331334487651905,0.0015653211830866669,-0.04290443240787441,0.0,-0.0033402922922764616,0.0,0.028471050005139914,0.03866811051142913,0.0434344686429541,0.8902632337762427,-0.16388342797104966
locked,0.1,0.1783513763426124,0.8189537266257237,-0.21752335117529728,0.009685052901803035,0.06717864985002175,-0.010354959259210261,-0.055909041241775106,-0.04622398833997207,0.00015415016017004724,0.0015200564573736852,-0.04260594488151245,0.0,-0.003618043458459619,0.0,0.028411845295405747,0.03876680455461601,0.043392156546076595,0.8934058051125187,-0.1638628322507475
locked,0.1,0.17835278508811409,0.8188432483031206,-0.2175077672201346,0.009690385911216627,0.06721556938717192,-0.010502573470815624,-0.05589497291511017,-0.046204587003893544,0.0001642925978270602,0.0014776934688921274,-0.04232268286384659,0.0,-0.0038819041400469517,0.0,0.02835649795817815,0.03885907142899377,0.043352633132794506,0.8963485864852454,-0.1638435715545456
